race,activities
2,"o,15,s,75,o,20,o,2,o,203,o,15,o,240,o,30,o,75,o,2,o,45,o,13,o,285,o,10,o,140,o,15,s,30,s,225"
2,"s,300,o,30,o,60,o,15,o,120,o,15,o,10,o,410,w,30,o,120,s,330"
1,"s,270,o,30,o,120,o,90,o,60,o,120,s,120,o,90,o,60,o,120,s,360"
2,"s,300,o,30,o,60,w,180,o,15,o,10,o,15,o,230,w,120,o,45,s,435"
1,"o,5,o,10,o,20,o,30,o,115,o,20,o,160,o,30,o,150,o,15,o,165,o,30,o,10,o,1,o,1,o,15,o,10,o,30,o,7,o,120,o,7,o,5,o,15,o,20,o,45,o,20,o,60,o,10,s,314"
2,"s,420,o,10,o,1,o,60,o,5,o,1,o,1,w,312,o,1,o,59,o,1,w,149,o,120,o,30,s,270"
1,"s,150,o,20,o,1,o,30,c,189,o,5,o,10,o,3,o,10,o,10,o,112,s,180,o,60,o,3,o,237,o,3,o,10,o,77,s,330"
1,"s,330,o,30,o,15,o,15,o,90,o,20,o,100,o,45,o,165,o,30,o,60,o,20,o,90,o,20,o,60,o,5,o,3,o,1,o,10,o,10,s,321"
1,"s,180,o,35,o,35,o,60,o,20,o,60,o,10,o,20,o,25,o,60,w,120,o,60,w,125,o,35,o,30,w,265,o,90,s,180,o,30"
1,"s,140,o,25,o,15,o,30,c,445,o,125,o,3,o,1,o,45,o,101,o,45,o,75,o,30,o,3,s,357"
1,"s,540,o,60,o,15,s,225,o,30,o,60,o,5,s,30,s,475"
1,"s,165,o,7,o,7,o,10,c,268,o,47,c,159,o,27,o,150,o,5,o,25,o,10,w,30,o,110,o,45,s,375"
2,"s,150,o,30,o,20,c,340,o,10,c,89,o,15,o,5,o,120,o,120,o,180,s,361"
1,"s,210,o,10,o,30,o,120,o,60,o,50,o,15,o,5,o,100,o,10,o,110,o,45,o,15,o,25,o,35,o,10,o,110,o,60,o,60,s,360"
1,"s,120,o,20,o,15,c,475,o,20,o,20,o,20,o,35,o,30,o,35,o,140,o,30,o,60,o,30,s,390"
1,"s,240,o,120,o,60,o,15,o,105,o,8,o,60,o,5,o,60,o,10,s,120,o,4,o,8,o,145,o,8,o,30,o,5,o,77,w,40,s,320"
1,"s,420,o,300,o,5,o,60,o,5,o,1,o,90,o,199,s,360"
1,"s,360,o,10,o,170,o,30,o,30,o,45,o,195,o,120,o,15,o,15,o,60,s,390"
1,"s,420,o,40,o,30,w,120,o,30,o,20,o,30,o,20,o,30,o,10,o,60,o,30,o,90,o,10,o,30,o,60,w,120,s,290"
1,"s,105,o,10,o,5,o,60,o,5,o,10,o,10,o,20,o,15,o,30,c,235,o,20,o,25,c,175,o,30,o,10,o,5,o,250,o,5,o,10,o,15,w,90,o,2,s,298"
2,"s,210,o,60,o,240,o,60,s,210,w,240,o,45,o,90,s,285"
1,"o,30,o,60,o,1,o,2,o,45,o,1,o,15,w,240,o,15,o,5,o,30,o,2,o,30,o,5,o,5,o,270,o,2,o,90,o,5,s,587"
1,"s,300,o,10,o,30,o,15,o,80,o,15,o,30,o,15,o,75,o,15,o,225,o,10,o,15,o,125,o,20,o,30,o,100,o,25,o,65,s,240"
1,"s,150,o,30,o,30,c,420,o,30,o,120,o,150,o,30,o,120,o,20,o,180,s,160"
1,"s,540,o,60,o,10,o,2,o,60,o,30,o,5,o,60,o,30,o,120,o,15,o,20,o,120,o,10,o,5,o,10,o,15,o,178,s,150"
1,"s,180,o,15,o,90,o,255,o,15,o,5,o,30,o,25,o,30,o,5,o,30,o,30,w,120,o,150,s,460"
1,"s,420,o,60,o,15,o,105,o,60,o,120,o,10,o,5,o,15,o,90,o,10,o,140,o,15,o,5,o,15,o,25,o,10,o,35,o,45,s,240"
1,"s,300,o,60,o,150,o,15,w,375,o,240,s,300"
1,"s,600,o,60,o,180,o,60,o,120,o,30,s,390"
1,"s,360,o,120,w,90,o,60,o,20,o,30,s,280,s,480"
1,"s,240,o,5,o,5,o,5,o,1,o,5,o,60,o,2,o,60,o,90,w,15,o,60,o,5,o,10,o,10,o,1,o,120,o,5,w,10,o,60,o,2,o,10,o,5,o,90,o,20,o,10,o,20,o,5,o,5,o,10,o,10,o,60,w,304,s,120"
1,"s,150,o,45,o,15,o,5,o,15,o,10,w,20,w,2,o,2,c,431,o,5,o,15,o,5,o,60,o,5,o,45,o,10,o,5,o,30,o,20,o,10,o,5,o,15,o,60,o,15,o,5,o,5,o,20,o,20,w,30,o,15,s,345"
1,"o,420,o,150,o,15,o,5,o,15,o,15,o,30,s,250,o,240,s,300"
1,"s,80,o,60,o,20,o,500,o,20,o,60,o,60,o,5,o,60,o,5,o,30,o,90,o,120,s,330"
1,"s,90,o,15,o,10,o,15,o,20,o,30,o,45,o,5,c,260,o,30,c,160,o,30,o,20,o,10,o,40,w,120,o,30,o,20,o,40,s,450"
1,"s,420,o,20,s,100,o,5,o,120,o,15,o,180,o,15,o,3,o,3,o,3,o,120,o,90,o,60,s,286"
1,"s,120,o,30,o,120,o,5,o,60,o,20,o,120,o,15,o,60,o,5,o,195,o,6,o,65,o,6,w,163,o,15,o,120,s,315"
2,"s,240,o,15,o,120,o,10,o,455,o,30,o,240,o,10,o,10,s,310"
1,"s,60,o,20,o,45,o,415,o,30,o,45,o,165,s,660"
1,"s,90,o,30,o,120,c,450,o,150,o,5,o,30,w,60,o,30,o,85,s,390"
1,"s,90,o,30,o,5,o,20,o,20,o,15,w,360,o,15,o,45,o,60,o,33,o,5,o,20,o,47,o,15,o,20,c,160,o,30,o,60,s,390"
4,"s,140,o,25,o,5,o,10,c,15,o,10,c,245,o,30,c,130,o,10,o,40,w,240,o,10,o,10,o,90,o,10,w,60,o,30,o,30,s,300"
1,"s,420,o,20,o,6,o,180,o,15,o,60,o,15,o,45,o,20,o,10,o,120,o,10,w,30,o,150,s,339"
1,"s,420,o,15,o,60,o,10,o,210,o,7,o,120,o,10,o,40,o,150,o,15,o,30,s,353"
1,"s,150,o,15,o,15,o,5,o,45,c,160,o,15,o,1,w,10,c,235,o,15,o,69,o,5,o,20,w,20,o,15,o,5,o,80,o,185,o,15,o,15,o,20,w,55,o,10,s,260"
4,"s,330,o,120,o,60,o,10,o,140,o,120,o,15,o,165,o,10,o,45,o,90,o,30,s,305"
1,"s,120,o,15,o,30,o,10,o,545,o,10,o,60,o,30,o,30,o,30,w,290,s,270"
1,"s,240,o,30,o,45,o,60,o,30,o,15,o,15,o,225,o,5,o,175,o,60,o,60,o,30,s,450"
2,"o,120,o,30,s,240,o,45,o,75,o,30,o,60,o,10,o,70,o,25,o,20,o,115,s,180,o,25,o,5,o,5,o,25,o,360"
1,"s,420,o,30,o,210,o,320,o,10,o,390,o,10,s,50"
1,"s,300,o,15,o,60,o,30,o,60,o,15,o,15,o,120,o,120,o,60,o,60,o,60,o,120,o,60,o,30,o,15,s,300"
1,"s,180,o,15,o,60,o,15,o,60,o,180,o,30,o,30,o,30,o,60,o,15,o,105,o,15,o,345,s,300"
1,"s,60,o,15,o,10,o,2,o,5,o,75,o,5,c,428,o,75,o,75,w,180,o,15,w,30,o,15,o,120,s,330"
1,"s,240,o,10,o,50,o,10,s,170,o,30,o,90,s,120,o,15,o,90,o,45,o,90,s,180,o,20,o,100,s,180"
2,"s,120,o,30,o,15,o,5,o,8,o,32,o,30,o,210,o,30,o,196,o,2,o,192,o,15,o,10,o,30,o,30,w,60,o,30,s,395"
1,"s,210,o,5,o,3,o,15,o,60,o,15,o,82,o,30,o,60,o,30,o,30,o,45,o,15,o,30,o,180,o,30,o,60,o,30,o,120,o,270,o,15,o,60,s,45"
1,"s,120,w,240,o,15,o,90,o,30,o,150,o,30,o,120,w,120,o,30,o,60,o,120,s,315"
1,"s,120,o,45,o,22,o,13,o,10,c,210,o,30,c,310,o,3,o,10,o,10,o,2,o,6,o,20,o,120,o,40,o,15,w,40,o,15,s,399"
2,"s,330,o,90,o,15,o,75,o,5,o,145,o,15,o,125,o,15,o,2,o,35,o,15,o,63,o,45,o,30,o,30,s,405"
4,"s,180,w,420,s,240,o,30,o,10,w,80,s,480"
1,"s,240,w,90,o,15,w,135,o,10,o,30,o,120,o,10,o,15,w,175,o,25,o,15,o,30,o,10,o,5,o,15,o,20,o,20,o,10,o,2,o,30,o,20,o,20,o,10,o,15,s,353"
2,"s,120,o,30,o,10,o,5,o,15,o,30,c,208,o,25,c,202,o,5,s,60,o,10,o,120,o,15,o,120,o,15,o,10,s,200,o,60,s,180"
2,"s,300,o,90,o,15,o,15,o,110,o,20,o,80,o,135,o,15,o,25,o,3,o,5,o,7,o,10,o,3,o,157,s,90,o,60,s,300"
1,"s,360,o,20,o,220,o,20,o,90,o,70,o,60,o,10,o,40,o,10,o,60,o,60,o,240,s,180"
1,"s,240,o,15,o,30,o,15,o,330,o,15,o,10,o,95,o,30,o,60,o,60,o,180,o,20,o,40,o,15,o,45,s,240"
2,"s,330,o,150,o,37,o,11,o,22,o,2,o,10,o,13,o,100,o,20,o,85,o,7,o,15,o,83,o,5,o,68,o,5,o,27,o,30,o,45,o,60,s,315"
2,"s,195,o,45,o,6,o,90,o,114,o,2,o,238,o,45,s,255,o,30,w,150,o,30,o,30,o,10,s,80,s,120"
1,"s,540,o,30,o,10,o,30,o,20,o,20,o,15,o,60,o,20,o,60,o,5,o,10,o,2,o,10,o,28,o,40,o,30,o,70,o,5,o,15,o,5,o,85,o,103,s,227"
1,"s,180,o,30,o,10,o,140,o,60,o,150,o,10,o,20,o,60,o,60,o,90,o,30,o,30,o,30,o,60,o,15,o,105,o,30,o,30,s,300"
1,"s,330,o,30,o,30,c,240,o,30,w,180,o,90,o,120,o,30,s,360"
1,"s,300,o,15,o,90,s,60,o,15,o,45,o,60,c,75,o,60,o,60,o,45,o,60,o,45,o,15,o,135,o,15,o,45,s,300"
1,"s,360,o,60,o,60,o,90,w,30,o,30,o,75,o,20,o,115,o,15,o,15,o,15,o,5,o,20,o,5,o,75,o,30,o,85,o,5,o,10,o,5,s,315"
1,"s,165,o,30,o,25,c,200,o,45,c,165,o,10,o,20,o,60,w,105,o,5,o,30,o,15,w,30,o,3,o,90,o,4,o,30,o,30,o,120,s,258"
1,"s,300,o,5,o,10,o,105,o,30,o,20,o,20,o,230,o,30,o,45,o,120,o,105,o,90,s,330"
1,"s,360,o,20,o,40,o,45,o,45,o,10,o,25,o,10,o,30,o,10,o,90,o,10,o,30,o,15,o,10,o,120,o,15,o,45,o,30,o,40,o,20,o,30,o,60,s,330"
1,"s,300,o,60,w,90,o,30,w,60,o,120,o,20,o,25,o,135,o,15,o,105,o,30,o,30,w,120,o,5,s,295"
1,"s,150,o,30,o,15,o,5,o,30,o,10,c,300,o,60,c,180,o,10,o,30,o,45,o,60,o,30,o,5,o,30,o,120,s,330"
1,"s,140,o,10,o,10,o,5,o,15,o,20,o,5,o,1,o,5,o,15,o,20,o,10,w,60,o,44,o,60,o,20,o,20,o,10,o,30,w,60,o,30,o,15,o,35,o,5,o,5,o,15,o,2,o,5,o,2,o,46,o,20,o,30,o,5,o,5,o,5,o,30,o,30,o,5,o,80,o,30,o,20,o,10,o,10,o,20,o,10,o,15,w,60,o,30,o,30,s,275"
1,"s,90,o,30,o,10,o,1,o,2,o,10,c,247,o,30,c,180,o,5,o,1,o,12,s,90,o,42,o,1,o,2,o,10,o,30,o,10,o,120,o,120,o,90,o,1,o,30,o,5,o,10,s,261"
1,"s,480,o,120,o,180,o,30,o,20,o,20,o,15,o,20,o,30,o,5,o,60,o,15,o,45,o,15,o,10,o,10,o,30,o,120,s,215"
1,"s,150,o,20,o,5,o,15,o,80,w,30,o,20,o,145,o,15,o,15,o,15,o,20,s,60,o,45,o,15,o,55,o,5,o,160,o,10,o,220,o,1,o,339"
4,"s,50,o,60,o,30,o,30,o,5,o,5,o,15,o,1,o,15,o,5,o,20,o,124,o,15,o,165,o,15,o,105,o,20,o,5,o,15,o,5,o,30,o,1,o,20,o,10,o,90,o,44,o,30,o,30,o,120,s,360"
1,"s,540,o,30,o,15,o,5,o,60,o,240,o,90,o,15,o,5,o,30,o,90,o,30,o,15,s,275"
4,"s,170,o,15,o,5,o,90,o,60,o,10,o,5,o,10,o,120,o,20,o,5,o,15,o,5,o,60,w,120,o,3,o,90,o,45,o,2,o,1,o,10,o,35,o,30,o,90,o,60,o,15,s,349"
1,"o,60,o,20,o,20,o,5,o,15,o,90,c,480,o,15,o,120,o,3,o,1,o,5,o,90,o,5,o,1,o,15,o,45,o,180,o,10,o,110,o,15,o,90,o,15,o,2,o,15,s,13"
2,"s,270,o,15,o,10,o,10,o,90,o,15,c,75,o,15,o,10,o,10,o,5,o,5,o,60,o,10,o,15,o,25,o,90,w,30,o,10,o,15,c,180,o,15,o,10,w,90,o,15,o,60,o,20,o,90,o,15,s,160"
1,"s,300,o,5,o,30,o,5,o,1,o,40,o,360,o,40,o,30,o,89,o,2,o,238,o,5,o,2,o,5,s,48,s,240"
1,"s,330,o,30,o,90,o,10,o,50,o,45,o,30,o,60,o,5,o,90,o,40,o,150,o,15,o,75,o,30,o,150,o,30,s,210"
1,"s,90,o,45,o,15,c,330,o,60,c,390,o,30,c,30,o,15,o,45,s,390"
1,"s,300,o,45,o,5,o,5,o,105,o,5,o,10,o,15,o,90,o,5,o,5,o,30,o,5,o,105,o,50,o,20,o,10,o,10,o,15,o,10,o,15,o,90,o,30,o,30,o,2,o,58,s,370"
1,"s,360,o,30,w,60,o,30,o,15,o,120,o,15,w,120,o,25,o,245,o,15,o,90,o,105,o,5,s,205"
1,"s,360,w,180,o,30,o,150,o,30,o,30,w,300,o,30,s,330"
1,"s,105,o,1,o,45,o,30,o,5,o,20,o,2,o,15,o,45,o,20,o,2,o,150,o,15,o,15,o,90,o,75,o,30,o,40,o,60,o,20,o,30,o,15,o,10,o,15,o,45,o,60,o,30,o,30,o,30,s,180,o,30,s,180"
1,"s,240,o,30,o,5,o,15,o,10,o,120,o,15,o,105,o,60,o,120,o,15,o,105,o,15,w,120,c,50,o,30,o,40,o,15,s,15,s,315"
1,"s,240,o,10,o,30,o,25,o,20,o,20,o,45,o,210,o,30,o,150,o,20,o,15,o,15,o,15,o,205,o,15,o,15,o,120,o,5,s,235"
1,"s,75,o,10,o,20,o,20,o,25,o,15,o,20,c,240,o,25,o,10,c,155,o,10,o,20,o,15,o,20,o,5,o,5,o,5,o,5,o,15,o,15,o,20,o,30,o,25,o,30,w,40,o,50,w,35,o,60,s,420"
1,"s,150,o,15,s,180,o,30,o,315,o,20,o,30,o,15,o,2,s,683"
1,"s,420,o,120,o,240,o,10,o,10,o,15,o,90,s,535"
1,"s,135,o,45,o,30,o,30,o,10,o,5,o,5,o,10,c,30,c,180,o,35,c,265,w,60,o,15,o,80,o,55,s,450"
1,"s,150,o,30,o,15,c,240,o,20,c,175,o,15,w,150,o,15,o,30,w,90,o,120,o,20,s,370"
2,"s,180,o,80,o,45,c,240,o,30,o,25,o,10,o,15,o,40,o,10,o,120,w,120,o,60,o,225,s,240"
4,"s,240,o,30,w,210,o,30,o,90,o,90,o,10,o,140,o,40,o,170,s,390"
2,"s,60,o,30,o,10,w,320,o,60,o,45,o,60,o,10,o,180,o,10,o,30,o,265,w,60,s,120,s,180"
1,"s,330,o,150,o,15,o,270,o,20,o,180,o,60,o,20,o,80,o,25,o,80,o,30,o,160,s,20"
1,"s,90,o,60,o,5,o,10,c,325,o,30,c,110,o,5,o,20,o,425,o,20,s,340"
1,"s,330,o,45,o,60,o,7,o,240,o,3,o,30,o,15,o,1,o,5,o,15,o,299,o,10,o,60,o,40,s,280"
2,"s,360,o,30,o,10,o,5,o,5,o,130,o,10,o,5,s,90,o,90,o,15,o,30,o,15,o,90,w,105,o,30,s,420"
2,"s,300,o,30,o,10,o,40,c,20,o,45,o,30,w,240,o,125,o,45,c,180,o,30,s,345"
2,"s,420,o,240,o,15,o,45,o,300,o,15,o,30,o,15,o,120,s,240"
1,"s,150,o,90,o,150,o,120,o,60,o,120,o,240,o,30,o,60,o,30,o,60,o,60,o,60,s,210"
2,"s,390,o,10,o,10,o,40,o,180,o,15,s,135,o,120,o,15,o,20,o,15,o,4,o,120,s,366"
1,"s,420,o,120,o,10,o,140,o,10,o,5,o,2,o,5,o,10,o,88,o,1,o,30,o,89,o,240,o,5,o,15,o,5,o,5,s,240"
1,"s,450,o,120,o,5,o,235,o,20,o,310,o,120,s,180"
1,"s,300,o,5,o,15,o,5,o,15,o,260,s,90,o,60,o,15,o,15,o,60,o,30,o,15,o,45,o,60,o,30,o,30,o,30,o,60,s,300"
1,"s,120,o,5,o,2,o,1,o,5,o,57,o,3,o,9,c,400,o,30,o,148,o,15,o,20,o,205,s,420"
1,"s,300,o,30,o,45,o,45,o,35,o,25,c,30,w,120,c,120,s,60,c,150,o,45,o,20,o,205,o,30,s,180"
1,"o,180,o,30,o,15,s,525,o,15,o,30,o,30,o,30,o,30,o,165,o,15,o,195,o,30,o,150"
1,"s,300,o,10,o,10,o,5,o,60,s,95,o,180,o,35,o,2,o,120,o,10,o,60,o,25,o,30,o,20,o,40,o,15,o,1,o,92,o,90,s,240"
1,"s,540,o,15,o,20,o,240,o,15,w,60,o,70,o,240,s,240"
2,"s,120,o,60,o,30,o,20,c,445,o,20,o,20,o,20,o,5,o,25,o,5,o,20,o,1,o,30,o,4,o,20,o,175,o,40,o,7,o,90,o,7,o,36,o,15,s,225"
1,"s,270,o,20,o,30,o,15,o,180,o,15,o,30,w,60,s,160,o,45,w,30,o,30,o,20,o,85,o,10,o,20,w,45,o,15,s,360"
2,"s,180,o,60,o,2,o,2,o,7,o,4,o,90,o,15,o,15,o,105,o,60,o,90,o,45,o,15,o,105,o,7,o,5,o,2,o,120,o,60,o,30,o,30,o,15,o,60,o,60,o,46,s,210"
4,"s,360,o,30,o,15,o,15,o,5,o,265,o,5,w,115,o,30,o,5,o,2,o,18,o,215,o,20,o,15,o,5,o,120,o,10,s,190"
1,"s,60,o,20,o,30,o,5,o,290,o,300,o,120,o,15,o,120,o,45,o,15,o,15,o,15,o,5,s,385"
3,"s,90,o,60,o,5,w,5,o,10,o,10,o,30,w,32,c,246,o,39,c,118,o,45,o,10,w,140,o,30,w,120,o,30,s,420"
4,"s,180,o,45,s,75,o,30,o,5,o,10,o,5,o,30,o,45,o,30,o,20,o,20,o,15,o,45,o,15,w,45,o,30,o,45,o,45,o,45,o,30,o,20,o,15,s,115,w,120,o,20,o,30,o,15,s,295"
1,"s,420,o,20,o,60,o,30,o,15,o,60,o,6,o,5,o,5,o,90,o,20,o,120,o,60,o,60,o,169,o,120,s,180"
1,"s,270,o,15,o,75,o,120,o,60,o,90,o,510,o,30,o,45,s,225"
1,"s,330,o,5,o,25,w,150,o,30,o,10,o,150,o,15,o,5,o,45,o,225,o,50,o,20,s,380"
1,"s,420,o,180,o,60,o,30,o,270,o,15,o,10,o,20,o,5,s,430"
1,"s,150,o,60,o,45,o,75,o,30,o,60,o,2,o,15,o,2,o,45,o,3,o,68,o,25,s,170,o,30,o,60,o,15,o,10,o,10,o,20,o,30,o,45,o,20,o,15,o,60,s,375"
1,"s,150,o,50,o,20,o,60,o,80,o,20,o,15,o,35,o,170,s,120,o,45,o,135,o,10,o,200,o,5,o,25,s,240,o,60"
4,"s,360,o,30,o,45,o,45,o,30,o,630,o,120,o,20,o,15,o,30,s,115"
2,"s,270,o,30,o,5,o,295,o,10,o,30,s,185,o,15,o,5,o,145,o,30,o,1,o,35,o,90,o,10,o,44,s,240"
2,"s,240,o,10,o,180,o,60,o,10,o,120,s,190,o,120,o,20,o,133,o,20,s,337"
2,"o,13,s,137,o,20,o,70,s,120,o,20,o,70,o,210,o,10,o,230,o,8,o,352,o,8,s,172"
4,"s,330,o,90,c,60,o,30,c,330,o,90,o,30,o,30,w,150,o,30,w,120,s,150"
2,"s,240,o,15,o,30,c,15,c,120,o,10,o,140,o,30,s,90,o,60,o,30,o,60,o,120,o,20,s,460"
2,"s,60,o,20,o,20,o,45,o,410,o,30,o,405,o,45,o,20,o,5,o,10,o,30,w,60,s,280"
4,"s,150,o,50,o,10,o,5,o,5,c,20,c,242,o,15,w,13,c,56,o,2,o,5,o,5,o,10,o,45,o,60,o,25,o,302,o,30,o,25,o,10,s,355"
4,"s,420,o,5,o,90,o,5,o,230,o,30,o,120,o,60,o,30,o,90,s,360"
2,"o,30,o,180,o,120,o,20,o,40,o,20,o,20,o,10,o,20,o,110,o,150,o,60,o,60,o,90,o,60,o,30,o,120,s,300"
2,"s,360,o,30,o,10,w,200,o,120,w,180,o,120,s,420"
4,"s,300,o,30,o,60,o,10,o,20,o,121,o,30,o,250,o,15,o,15,o,120,o,10,o,60,o,20,o,10,o,15,o,40,o,20,o,1,o,10,o,15,s,268"
2,"s,240,o,15,o,30,o,30,o,30,o,20,o,2,o,5,o,20,o,10,o,30,o,10,c,218,o,20,o,25,o,10,o,300,s,25,o,160,o,30,o,10,o,10,o,10,o,10,o,2,o,10,o,1,o,10,o,5,o,30,o,60,o,10,s,42"
2,"s,180,o,90,o,30,o,5,o,45,c,220,w,60,o,45,o,5,o,10,o,90,s,90,o,2,o,5,o,25,o,15,o,193,o,20,o,10,o,25,o,5,o,15,s,255"
2,"s,180,o,60,o,15,o,15,o,15,o,5,o,3,o,10,o,5,o,90,o,202,o,15,o,285,o,15,o,105,o,10,o,245,o,30,o,10,o,5,s,120"
2,"s,60,o,90,o,70,o,20,o,240,o,45,o,240,o,20,o,30,o,30,o,10,w,240,o,10,s,335"
2,"s,90,o,40,o,3,o,15,c,30,c,272,o,25,c,170,o,15,o,60,o,180,o,10,o,20,o,120,o,60,s,330"
2,"s,330,o,30,o,10,o,230,o,30,o,180,o,15,c,15,c,170,o,15,o,90,s,325"
4,"s,300,o,60,o,30,o,30,o,30,o,60,o,30,o,15,o,90,o,15,o,30,o,45,o,60,o,45,o,5,o,115,o,5,o,115,o,30,o,30,o,60,s,240"
2,"s,420,o,10,o,30,o,40,o,120,o,15,o,120,o,15,w,180,o,30,o,120,s,340"
2,"s,240,o,30,o,60,o,30,o,120,o,90,o,15,o,90,o,10,o,90,o,5,o,45,o,10,o,185,o,5,o,10,o,30,o,10,o,125,s,240"
2,"s,120,o,20,o,20,o,2,o,5,o,30,o,30,o,15,c,238,o,15,o,30,o,15,o,30,o,10,o,15,o,35,o,20,o,15,o,30,s,115,o,30,o,30,o,20,o,115,o,20,o,85,s,330"
2,"s,300,w,195,o,15,o,150,o,15,o,45,o,60,w,120,o,45,o,30,o,30,o,135,s,300"
4,"s,270,o,30,o,10,o,60,o,10,o,30,o,60,o,70,o,10,o,180,o,10,w,15,o,90,o,115,o,15,w,60,o,15,s,390"
2,"s,420,o,60,o,15,o,645,o,15,o,285"
2,"s,240,o,20,o,5,o,365,o,5,o,145,o,30,o,60,o,270,s,300"
2,"s,480,o,30,o,80,o,90,o,60,o,150,o,30,s,90,o,120,o,10,o,20,s,280"
4,"s,270,o,120,o,20,o,10,o,120,o,10,o,10,o,12,o,60,o,10,s,45,o,60,o,15,o,18,o,300,o,15,o,30,o,90,s,225"
2,"s,180,o,10,o,20,o,15,o,105,o,90,o,15,o,105,s,300,o,60,o,30,o,240,o,15,o,10,o,30,s,215"
2,"s,270,o,60,o,15,o,15,o,10,o,230,o,10,o,140,o,20,o,60,o,15,o,20,w,90,o,30,w,155,o,60,s,240"
4,"s,480,o,10,o,30,o,30,o,10,o,120,o,20,o,30,o,30,o,15,o,30,o,10,o,60,o,205,o,10,s,350"
4,"s,420,o,60,o,120,w,360,o,60,o,180,w,180,s,60"
2,"s,300,o,45,o,15,o,30,o,5,o,1,o,15,o,30,o,30,o,519,o,30,o,30,o,10,o,15,o,10,o,30,s,325"
2,"s,240,o,180,o,60,o,180,o,60,o,60,o,30,o,30,o,30,o,300,o,30,s,240"
4,"s,60,o,45,o,15,o,480,o,15,o,60,w,120,o,120,o,45,o,45,w,90,s,345"
2,"s,180,o,3,o,30,o,60,w,180,o,65,o,120,o,202,o,30,o,10,o,20,o,15,o,60,o,5,o,5,o,5,o,30,o,10,o,2,s,408"
4,"s,390,o,60,o,15,o,5,o,180,o,15,o,30,s,150,o,30,o,60,o,5,o,10,o,5,o,320,o,5,o,15,o,55,s,90"
2,"s,570,o,60,o,15,o,60,o,15,o,120,o,45,o,150,o,45,o,10,o,120,s,230"
4,"s,210,o,30,o,30,o,60,o,30,o,120,o,30,o,60,s,120,o,90,o,30,o,60,o,60,o,90,o,30,o,30,s,360"
