race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,0,Working and related activities,0.12,0.09,0.08,0.07,0.08,0.07,0.06,0.07,0.16,0.14,0.19,0.26,0.42,0.66,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.9,0.72,0.56,0.5,0.47,0.46,0.41,0.4,0.36,0.31,0.27,0.21,0.16
1,0,Education with children,0.07,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.1,0.1,0.11,0.19,0.51,0.88,0.99,0.99,0.99,0.89,0.78,0.7,0.72,0.68,0.68,0.69,0.74,0.71,0.74,0.7,0.76,0.87,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.79,0.5,0.27,0.15,0.08
1,0,Other activities with children,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.02,0.02,0.02,0.07,0.18,0.45,0.61,0.46,0.33,0.22,0.17,0.15,0.15,0.18,0.2,0.2,0.17,0.16,0.18,0.28,0.39,0.48,0.45,0.43,0.39,0.48,0.38,0.25,0.18,0.16,0.13,0.12,0.09,0.06,0.05,0.04,0.03,0.02,0.01
1,0,Other,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2,0,Working and related activities,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.07,0.05,0.07,0.09,0.12,0.2,0.27,0.35,0.38,0.38,0.4,0.42,0.43,0.43,0.43,0.42,0.44,0.41,0.44,0.41,0.43,0.44,0.44,0.4,0.38,0.35,0.33,0.26,0.21,0.17,0.14,0.13,0.13,0.1,0.1,0.1,0.1,0.09,0.09,0.06
2,0,Education with children,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.03,0.03,0.11,0.13,0.18,0.17,0.14,0.11,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.05,0.06,0.07,0.09,0.1,0.13,0.15,0.14,0.12,0.14,0.14,0.15,0.16,0.18,0.21,0.23,0.19,0.16,0.13,0.1,0.06,0.04,0.02
2,0,Other activities with children,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.07,0.09,0.08,0.04,0.02,0.02,0.01,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.04,0.06,0.06,0.05,0.04,0.05,0.05,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,0,Other,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
3,0,Working and related activities,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.03,0.04,0.06,0.07,0.09,0.12,0.11,0.13,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.16,0.14,0.14,0.14,0.16,0.11,0.11,0.11,0.1,0.08,0.1,0.07,0.07,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.02
3,0,Education with children,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.08,0.13,0.07,0.06,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.07,0.04,0.02,0.02,0.05,0.06,0.04,0.04,0.05,0.08,0.08,0.06,0.08,0.08,0.06,0.02,0.02,0.02,0.01
3,0,Other activities with children,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
3,0,Other,0.42,0.41,0.44,0.41,0.42,0.4,0.4,0.4,0.79,0.39,0.38,0.39,0.43,0.41,0.47,0.43,0.46,0.41,0.42,0.41,0.4,0.41,0.4,0.39,0.49,0.44,0.45,0.38,0.4,0.35,0.47,0.44,0.45,0.44,0.51,0.5,0.53,0.49,0.53,0.5,0.52,0.49,0.49,0.48,0.47,0.45,0.43,0.43
4,0,Working and related activities,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.04,0.03,0.05,0.06,0.12,0.18,0.27,0.4,0.44,0.58,0.63,0.62,0.67,0.61,0.64,0.63,0.64,0.64,0.7,0.66,0.67,0.67,0.68,0.64,0.61,0.55,0.56,0.43,0.38,0.29,0.25,0.23,0.18,0.17,0.19,0.16,0.17,0.12,0.1,0.08
4,0,Education with children,0.04,0.02,0.02,0.0,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.03,0.11,0.24,0.39,0.45,0.46,0.45,0.4,0.34,0.33,0.3,0.29,0.3,0.3,0.23,0.29,0.28,0.33,0.33,0.4,0.45,0.45,0.41,0.46,0.48,0.48,0.46,0.53,0.54,0.61,0.57,0.54,0.42,0.27,0.14,0.09,0.04
4,0,Other activities with children,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.07,0.11,0.15,0.17,0.14,0.1,0.06,0.06,0.06,0.05,0.06,0.09,0.06,0.04,0.07,0.09,0.1,0.13,0.14,0.14,0.09,0.14,0.12,0.13,0.1,0.07,0.04,0.03,0.03,0.02,0.02,0.0,0.01,0.0,0.0
4,0,Other,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
